Wavelength [nm], SR(A/W), EQE[%]
802,0.000591,0.091339
804,0.001185,0.182678
806,0.001781,0.274018
808,0.002381,0.365357
810,0.002984,0.456696
812,0.003589,0.548035
814,0.004198,0.639375
816,0.004809,0.730714
818,0.005424,0.822053
820,0.006041,0.913392
822,0.006661,1.004731
824,0.007285,1.096071
826,0.007911,1.18741
828,0.00854,1.278749
830,0.009172,1.370088
832,0.009807,1.461428
834,0.010445,1.552767
836,0.011086,1.644106
838,0.01173,1.735445
840,0.012377,1.826785
842,0.013027,1.918124
844,0.01368,2.009463
846,0.014335,2.100802
848,0.014994,2.192141
850,0.015655,2.283481
852,0.016892,2.458042
854,0.019036,2.763616
856,0.019986,2.89471
858,0.021538,3.112168
860,0.023599,3.402075
862,0.024969,3.591204
864,0.027318,3.920001
866,0.028844,4.129353
868,0.031019,4.430554
870,0.033316,4.747692
872,0.03503,4.980535
874,0.037408,5.306459
876,0.040695,5.759608
878,0.045277,6.393431
880,0.053642,7.55743
882,0.065911,9.264941
884,0.089909,12.609706
886,0.112293,15.713441
888,0.150142,20.962426
890,0.188768,26.296028
892,0.229539,31.903855
894,0.265757,36.855135
896,0.291044,40.271973
898,0.318932,44.03246
900,0.338799,46.671474
902,0.349935,48.098608
904,0.347124,47.606669
906,0.343142,46.956624
908,0.33591,45.865767
910,0.329591,44.904073
912,0.331596,45.078196
914,0.337382,45.764377
916,0.341389,46.206821
918,0.339747,45.884328
920,0.331388,44.658088
922,0.309331,41.595276
924,0.282062,37.846306
926,0.256541,34.347704
928,0.250807,33.507665
930,0.280428,37.384407
932,0.341046,45.367931
934,0.420342,55.796589
936,0.498283,66.00125
938,0.548675,72.521044
940,0.589055,77.692655
950,0.550576,71.853003
960,0.593353,76.629045
970,0.601455,76.874658
980,0.605695,76.626563
990,0.652398,81.701272
1000,0.616562,76.441298
1010,0.679553,83.416781
1020,0.610106,74.15778
1030,0.639437,76.968315
1040,0.668442,79.685996
1050,0.574222,67.801964
1060,0.636379,74.432279
1070,0.647855,75.066411
1080,0.578425,66.401019
1090,0.645889,73.465472
1100,0.662727,74.695366
1110,0.590762,65.984417
1120,0.651877,72.160446
1130,0.731949,80.307142
1140,0.662244,72.021994
1150,0.657642,70.899519
1160,0.757838,80.997174
1170,0.739357,78.346522
1180,0.677177,71.149506
1190,0.715068,74.499225
1200,0.779998,80.586805
1210,0.717539,73.521051
1220,0.664157,67.493545
1230,0.709709,71.536378
1240,0.754059,75.393713
1250,0.692068,68.642053
1260,0.652624,64.216115
1270,0.683924,66.766099
1280,0.750431,72.686255
1290,0.725846,69.760028
1300,0.652939,62.270278
1310,0.653201,61.819759
1320,0.726915,68.274932
1330,0.8044,74.984637
1340,0.779581,72.128716
1350,0.710641,65.263145
1360,0.705125,64.280465
1370,0.766556,69.370562
1380,0.849748,76.341832
1390,0.851416,75.94138
1400,0.780971,69.160583
1410,0.760087,66.833765
1420,0.802287,70.04754
1430,0.860347,74.591524
1440,0.884375,76.142261
1450,0.836473,71.521313
1460,0.783869,66.564443
1470,0.776866,65.520974
1480,0.810136,67.865324
1490,0.860193,71.574998
1500,0.869416,71.860149
1510,0.810367,66.53598
1520,0.75389,61.491653
1530,0.733711,59.454589
1540,0.770013,61.991077
1550,0.813985,65.108262
1560,0.83765,66.571718
1570,0.767283,60.590908
1580,0.633678,49.723638
1590,0.51746,40.348866
1600,0.44035,34.12162
1610,0.412643,31.776035
1620,0.411976,31.528889
1630,0.413267,31.433682
1640,0.398169,30.100591
1650,0.357616,26.871051
1660,0.317908,23.743546
1670,0.282442,20.968387
1680,0.264301,19.504763
1690,0.255059,18.711365
1700,0.257337,18.767439
1710,0.254252,18.433988
1720,0.246496,17.76775
1730,0.222022,15.911118
1740,0.197783,14.092623
1750,0.175767,12.452365
1760,0.153768,10.831894
1770,0.137809,9.65284
1780,0.124452,8.668308
1790,0.110436,7.649055
1800,0.095036,6.545877
1810,0.079851,5.469597
1820,0.065742,4.47843
1830,0.0539,3.651678
1840,0.044944,3.028325
1850,0.03731,2.500353
1860,0.030079,2.004914
1870,0.025499,1.690578
1880,0.021707,1.431504
1890,0.017966,1.178562
1900,0.015466,1.009176
1910,0.01315,0.85355
1920,0.009697,0.626165
1930,0.007291,0.468342
1940,0.005476,0.349946
1950,0.003993,0.253848