WL [nm],SR [A/W],EQE [%]
500,0.002494,0.618428
510,0.003314,0.805511
520,0.004747,1.131862
530,0.007125,1.666671
540,0.010182,2.337625
550,0.013238,2.984113
560,0.015903,3.520889
570,0.018877,4.105805
580,0.022519,4.813733
590,0.026722,5.615302
600,0.03215,6.643332
610,0.0392,7.967206
620,0.048663,9.730944
630,0.06019,11.845034
640,0.076063,14.734874
650,0.1023,19.512501
660,0.140835,26.455557
670,0.178772,33.080828
680,0.219338,39.990463
690,0.327911,58.919517
700,0.478816,84.805162
710,0.519628,90.73737
720,0.534328,92.008383
730,0.532636,90.460636
740,0.523777,87.753928
750,0.522106,86.307539
760,0.535479,87.353599
770,0.55624,89.56183
780,0.575905,91.53935
790,0.584596,91.744531
800,0.57795,89.567727
810,0.563201,86.204567
820,0.549801,83.127286
830,0.548848,81.983365
840,0.556673,82.16235
850,0.572724,83.53682
852,0.576975,83.959318
854,0.57882,84.030533
856,0.580105,84.020295
858,0.582402,84.15641
860,0.584262,84.228804
862,0.587748,84.534751
864,0.590598,84.748104
866,0.592781,84.864938
868,0.594814,84.959787
870,0.595476,84.858778
872,0.595569,84.677366
874,0.596431,84.605846
876,0.595643,84.301135
878,0.593983,83.874773
880,0.587695,82.798144
882,0.572001,80.404447
884,0.556115,77.994477
886,0.516952,72.338279
888,0.470814,65.733759
890,0.434941,60.588699
892,0.373516,51.915311
894,0.338267,46.910877
896,0.32326,44.729718
898,0.307713,42.483518
900,0.294179,40.524777
902,0.275999,37.93613
904,0.263947,36.199248
906,0.257578,35.247829
908,0.248961,33.993625
910,0.244599,33.324531
912,0.249575,33.928001
914,0.262903,35.66161
916,0.27241,36.870499
918,0.287163,38.782616
920,0.299037,40.298517
922,0.315943,42.484407
924,0.334938,44.941159
926,0.348786,46.69814
928,0.346116,46.240836
930,0.30576,40.761464
932,0.227377,30.247036
934,0.136364,18.101044
936,0.073708,9.763215
938,0.042919,5.672784
940,0.028526,3.76242
942,0.018129,2.386029
944,0.011415,1.49913
946,0.006988,0.915794
948,0.004274,0.558962
950,0.002621,0.342117
952,0.00167,0.217451
954,0.001074,0.139619
956,0.000649,0.084148
958,0.000448,0.057974
960,0.000305,0.039331
962,0.000201,0.025945
964,0.000145,0.018591
966,0.000108,0.013882
968,0.000079,0.010162
970,0.000054,0.006892
972,0.000059,0.007526
974,0.000054,0.006833
976,0.000044,0.005577
978,0.000044,0.005525
980,0.000041,0.005153
982,0.000039,0.004939
984,0.000041,0.005149
986,0.00003,0.003723
988,0.00004,0.00506
990,0.000036,0.004544
1000,0.000056,0.006892
1010,0.000031,0.003789